Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-February-2017,410.25,423.50,410.00,422.10,418.801744617202327832,159118,3370,66638896.00,43002,27.03,13.50,11.85
15-February-2017,414.00,416.45,408.90,410.60,412.291784515125953125,120918,2385,49853498.00,28434,23.52,7.55,-3.40
14-February-2017,411.05,414.10,408.50,409.35,410.653273385239609606,45595,1044,18723736.00,10191,22.35,5.60,-1.70
13-February-2017,411.00,415.05,407.80,411.45,411.488447306725418749,70806,1736,29135851.00,16415,23.18,7.25,0.45
10-February-2017,413.50,418.70,410.25,411.10,414.246248618612887620,225317,4632,93336722.00,53766,23.86,8.45,-2.40
9-February-2017,397.00,409.90,394.60,408.00,403.916308035036200698,138257,3331,55844257.00,41933,30.33,15.30,11.00
8-February-2017,399.00,401.05,393.65,397.40,397.428702336014005142,73116,1912,29058397.00,8809,12.05,7.40,-1.60
7-February-2017,396.50,398.10,390.00,392.10,393.955490793482580474,60392,1613,23791760.00,7724,12.79,8.10,-4.40
6-February-2017,391.00,406.40,390.55,395.95,398.061535457031001625,220182,4369,87645985.00,39157,17.78,15.85,4.95
3-February-2017,390.95,393.80,388.65,391.75,390.890700967878694942,110861,2302,43334534.00,8516,7.68,5.15,0.80
2-February-2017,383.20,399.00,383.20,389.35,391.924939336262031265,110857,2840,43447623.00,20715,18.69,15.80,6.15
1-February-2017,385.90,396.00,381.50,394.10,389.491988329267709379,83628,1606,32572436.00,14293,17.09,14.50,8.20
31-January-2017,386.40,388.00,383.85,385.35,385.614402631475897717,51074,1516,19694870.00,12463,24.40,4.15,-1.05
30-January-2017,394.80,394.80,386.00,387.45,388.113155992305147464,81613,2534,31675079.00,25001,30.63,8.80,-7.35
27-January-2017,394.90,397.60,389.50,391.65,392.803108001595843023,102767,2120,40367197.00,27758,27.01,8.10,-3.25
25-January-2017,404.00,404.45,391.30,393.00,395.881675703407136174,198818,3201,78708403.00,59808,30.08,13.15,-11.00
24-January-2017,382.50,402.85,378.70,401.20,395.258229180555653022,712495,12611,281619512.00,65124,9.14,24.15,18.70
23-January-2017,378.75,383.95,378.40,380.30,381.392686310645435156,48293,1571,18418597.00,5502,11.39,5.55,1.55
20-January-2017,390.90,392.35,377.75,378.70,385.684391263733819669,112405,2463,43352854.00,13585,12.09,14.60,-12.20
19-January-2017,382.15,391.35,379.50,388.55,387.362564069766379475,109451,3320,42397220.00,16301,14.89,11.85,6.40
18-January-2017,383.00,384.50,377.50,383.20,381.683175008448165809,26633,762,10165368.00,5879,22.07,7.00,0.20
17-January-2017,384.90,385.20,376.30,379.20,379.464949928469241773,61512,2238,23341648.00,8107,13.18,8.90,-5.70
16-January-2017,384.00,384.25,379.55,382.90,382.182576138937830354,31784,1076,12147291.00,6151,19.35,4.70,-1.10
13-January-2017,390.00,390.50,382.05,383.55,385.047297297297297297,39072,997,15044568.00,7395,18.93,8.45,-6.45
12-January-2017,380.95,390.00,378.00,388.85,386.117740788860833966,81586,2195,31501802.00,14221,17.43,12.00,7.90
11-January-2017,384.20,385.60,379.50,380.95,381.987758874815758575,80058,2039,30581176.00,10825,13.52,6.10,-3.25
10-January-2017,385.30,388.60,381.65,383.10,385.452020941547598863,194637,4894,75023225.00,8076,4.15,6.95,-2.20
9-January-2017,388.00,389.90,382.80,384.35,384.391274898111474657,174210,3612,66964804.00,6902,3.96,7.10,-3.65
6-January-2017,386.10,392.40,384.10,385.40,388.042377003476053196,168582,4790,65416960.00,18440,10.94,8.30,-0.70
5-January-2017,377.05,389.85,377.05,384.75,386.089070935829977096,218747,4853,84455826.00,32247,14.74,12.80,7.70
4-January-2017,377.00,377.50,371.90,374.35,374.975234243452059650,124123,3235,46543051.00,8482,6.83,5.60,-2.65
3-January-2017,358.15,383.20,355.00,377.40,370.721593135239458829,206737,4941,76641870.00,32704,15.82,28.20,19.25
2-January-2017,359.00,369.00,355.25,366.15,362.407277136745699394,132772,2858,48117539.00,18799,14.16,13.75,7.15
30-December-2016,362.45,366.95,357.75,360.65,362.334229636898920510,101900,2765,36921858.00,11410,11.20,9.20,-1.80
29-December-2016,353.10,367.00,348.50,363.30,356.826354896939675076,119105,3327,42499803.00,21681,18.20,18.50,10.20
28-December-2016,351.00,357.25,346.00,353.05,351.225343947744437640,122475,2519,43016324.00,8931,7.29,11.25,2.05
27-December-2016,360.00,363.30,349.50,352.40,354.431354192223757441,154882,3166,54895037.00,16591,10.71,13.80,-7.60
26-December-2016,380.00,380.00,365.10,366.30,367.057539581745830158,59055,1355,21676583.00,9781,16.56,14.90,-13.70
23-December-2016,366.50,372.00,364.00,370.35,369.097801487229227287,43302,1027,15982673.00,12807,29.58,8.00,3.85
